subject,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,y
subject_3,8.5,8.0,Chaos,Solid,Closed,Strict,5
subject_3,8.5,6.5,Rotated,Color,Open,Chaos,5
subject_3,8.5,8.0,Chaos,Color,Open,Chaos,5
subject_3,2.8,8.0,Strict,Color,Closed,Strict,5
subject_3,2.8,8.0,Strict,Color,Closed,Chaos,5
subject_3,8.5,6.5,Strict,Color,Closed,Chaos,5
subject_3,8.5,8.0,Rotated,Solid,Open,Rotated,5
subject_3,2.8,6.5,Strict,Solid,Closed,Strict,5
subject_3,8.5,6.5,Chaos,Solid,Open,Strict,5
subject_3,8.5,8.0,Strict,Translucent,Open,Strict,5
subject_4,8.5,6.5,Chaos,Solid,Open,Strict,5
subject_4,8.5,8.0,Chaos,Color,Open,Chaos,5
subject_4,2.8,8.0,Rotated,Solid,Open,Rotated,5
subject_4,8.5,8.0,Rotated,Color,Closed,Strict,5
subject_4,2.8,8.0,Strict,Color,Closed,Chaos,5
subject_4,2.8,6.5,Strict,Color,Open,Rotated,3
subject_4,8.5,6.5,Chaos,Color,Closed,Chaos,5
subject_4,4.0,8.0,Chaos,Solid,Open,Chaos,5
subject_4,4.0,8.0,Rotated,Solid,Closed,Rotated,5
subject_4,2.8,6.5,Rotated,Color,Open,Rotated,3
subject_4,8.5,8.0,Chaos,Translucent,Closed,Strict,5
subject_4,4.0,8.0,Rotated,Translucent,Open,Rotated,5
subject_4,2.8,6.5,Strict,Color,Open,Chaos,3
subject_4,8.5,6.5,Rotated,Translucent,Open,Rotated,5
subject_4,2.8,6.5,Strict,Solid,Closed,Strict,5
subject_4,4.0,6.5,Strict,Color,Open,Rotated,5
subject_4,4.0,6.5,Rotated,Translucent,Open,Rotated,5
subject_4,2.8,6.5,Strict,Solid,Open,Strict,5
subject_4,2.8,8.0,Rotated,Solid,Open,Strict,5
subject_4,4.0,6.5,Rotated,Solid,Closed,Chaos,5
subject_4,2.8,8.0,Chaos,Translucent,Open,Rotated,5
subject_4,4.0,6.5,Rotated,Translucent,Open,Strict,5
subject_4,2.8,6.5,Chaos,Translucent,Closed,Rotated,5
subject_4,4.0,6.5,Rotated,Solid,Closed,Strict,5
subject_4,8.5,8.0,Chaos,Solid,Closed,Strict,5
subject_5,8.5,8.0,Chaos,Solid,Closed,Strict,5
subject_5,8.5,8.0,Strict,Solid,Closed,Rotated,5
subject_5,2.8,6.5,Strict,Translucent,Open,Rotated,5
subject_5,2.8,8.0,Chaos,Color,Open,Strict,5
subject_5,2.8,6.5,Strict,Solid,Closed,Strict,5
subject_5,2.8,8.0,Strict,Color,Closed,Chaos,5
subject_5,8.5,6.5,Chaos,Solid,Open,Strict,5
subject_5,4.0,8.0,Strict,Translucent,Open,Rotated,5
subject_5,8.5,8.0,Strict,Solid,Open,Chaos,5
subject_5,2.8,8.0,Chaos,Color,Open,Chaos,5
subject_5,8.5,8.0,Strict,Translucent,Open,Chaos,5
subject_5,4.0,6.5,Rotated,Translucent,Open,Rotated,5
subject_5,4.0,8.0,Strict,Color,Open,Strict,5
subject_5,8.5,8.0,Chaos,Color,Open,Chaos,5
subject_5,2.8,6.5,Rotated,Translucent,Open,Strict,5
subject_5,8.5,8.0,Chaos,Solid,Open,Chaos,5
subject_5,4.0,6.5,Strict,Solid,Closed,Chaos,5
subject_5,4.0,8.0,Rotated,Translucent,Closed,Strict,5
subject_5,8.5,6.5,Strict,Translucent,Closed,Rotated,5
subject_5,4.0,8.0,Strict,Solid,Open,Strict,5
subject_5,2.8,8.0,Strict,Solid,Open,Strict,5
subject_5,2.8,8.0,Strict,Color,Open,Chaos,5
subject_5,8.5,6.5,Chaos,Solid,Closed,Rotated,5
subject_5,2.8,6.5,Strict,Color,Open,Chaos,3
subject_5,8.5,6.5,Rotated,Translucent,Open,Rotated,5
