x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y,subject
0,3,0.5,high,B,True,2.1321523230625843,subject_5
1,5,0.0,mid,C,True,1.0336845562088888,subject_5
1,5,1.0,max,C,True,2.673992770978808,subject_5
1,3,0.75,high,B,True,1.825246070855878,subject_5
1,2,0.75,low,B,False,-0.25469929831930727,subject_5
0,5,0.0,mid,B,True,1.7543619678707718,subject_5
1,4,0.5,max,C,False,1.05616198380827,subject_5
0,3,0.5,low,C,True,0.8720695330529513,subject_5
0,2,0.25,high,C,True,1.9687661849825988,subject_5
0,1,0.75,high,B,False,1.5044099575798724,subject_5
0,1,0.5,low,B,True,0.9721500308603312,subject_5
0,3,0.25,max,C,True,2.692908129028854,subject_5
0,1,0.0,max,C,True,1.8475502240614072,subject_5
1,3,0.5,high,B,True,1.5857623366412914,subject_5
